Model,Config,Architecture,Epochs,Layer,Validation Loss,Test Loss
SAE trained on pruned gpt2-small,MATS,standard,30K,0,11.8052,11.5214
SAE trained on pruned gpt2-small,Custom,standard,30K,0,3.4074,3.2892
SAE trained on pruned gpt2-small,Custom,standard,50K,0,3.4006,3.2829
SAE trained on pruned gpt2-small,Custom,gated,30K,0,3.4527,3.3368
SAE trained on pruned gpt2-small,MATS,standard,30K,1,8.4225,8.3672
SAE trained on pruned gpt2-small,Custom,standard,30K,1,3.3009,3.1842
SAE trained on pruned gpt2-small,Custom,standard,50K,1,3.3054,3.189
SAE trained on pruned gpt2-small,MATS,standard,30K,2,4.8094,4.6789
SAE trained on pruned gpt2-small,Custom,standard,30K,2,3.3551,3.2392
SAE trained on pruned gpt2-small,Custom,standard,50K,2,3.3549,3.2371
SAE trained on pruned gpt2-small,MATS,standard,30K,3,3.3207,3.2118
SAE trained on pruned gpt2-small,Custom,standard,30K,3,3.331,3.2183
SAE trained on pruned gpt2-small,Custom,standard,50K,3,3.342,3.2301
SAE trained on pruned gpt2-small,Custom,gated,30K,3,3.3062,3.1952
SAE trained on pruned gpt2-small,MATS,standard,30K,4,3.759,3.8018
SAE trained on pruned gpt2-small,Custom,standard,30K,4,3.3497,3.2321
SAE trained on pruned gpt2-small,Custom,standard,50K,4,3.3611,3.2432
SAE trained on pruned gpt2-small,MATS,standard,30K,5,3.3177,3.2047
SAE trained on pruned gpt2-small,Custom,standard,30K,5,3.3716,3.2535
SAE trained on pruned gpt2-small,Custom,standard,50K,5,3.3891,3.2701
SAE trained on pruned gpt2-small,Custom,gated,30K,5,3.3379,3.2205
SAE trained on pruned gpt2-small,MATS,standard,30K,6,3.7824,3.6531
SAE trained on pruned gpt2-small,Custom,standard,30K,6,3.332,3.2167
SAE trained on pruned gpt2-small,Custom,standard,50K,6,3.3392,3.2234
SAE trained on pruned gpt2-small,MATS,standard,30K,7,4.5568,4.4229
SAE trained on pruned gpt2-small,Custom,standard,30K,7,3.3218,3.2045
SAE trained on pruned gpt2-small,Custom,standard,50K,7,3.326,3.2086
SAE trained on pruned gpt2-small,MATS,standard,30K,8,3.8408,3.7229
SAE trained on pruned gpt2-small,Custom,standard,30K,8,3.306,3.1893
SAE trained on pruned gpt2-small,Custom,standard,50K,8,3.3092,3.1918
SAE trained on pruned gpt2-small,MATS,standard,30K,9,4.7224,4.5953
SAE trained on pruned gpt2-small,Custom,standard,30K,9,3.3005,3.1821
SAE trained on pruned gpt2-small,Custom,standard,50K,9,3.308,3.1883
SAE trained on pruned gpt2-small,MATS,standard,30K,10,3.262,3.1503
SAE trained on pruned gpt2-small,Custom,standard,30K,10,3.2602,3.1448
SAE trained on pruned gpt2-small,Custom,standard,50K,10,3.2649,3.1497
SAE trained on pruned gpt2-small,MATS,standard,30K,11,3.247,3.1324
SAE trained on pruned gpt2-small,Custom,standard,30K,11,3.2543,3.1416
SAE trained on pruned gpt2-small,Custom,standard,50K,11,3.2632,3.1498
