Model,Layer,Validation Loss,Test Loss,Sparse Ratio
SAE trained on pruned gpt2-small ,0,9.2595,9.2169,0.0
Pretrained SAE,0,6.9216,6.9736,0.0
Pruned SAE,0,2.8689,,0.99
Pruned SAE,0,4.0959,,0.97
Pruned SAE,0,5.0453,,0.95
Pruned SAE,0,5.9249,,0.93
Pruned SAE,0,6.64,,0.91
Pruned SAE,0,7.0589,,0.89
Pruned SAE,0,7.2672,,0.87
Pruned SAE,0,7.2689,,0.85
Pruned SAE,0,7.3525,,0.83
Pruned SAE,0,7.4143,,0.81
Pruned SAE,0,7.3926,,0.79
Pruned SAE,0,7.3644,,0.77
Pruned SAE,0,7.339,,0.75
Pruned SAE,0,7.2501,,0.73
Pruned SAE,0,7.2345,,0.71
Pruned SAE,0,7.2049,,0.69
Pruned SAE,0,7.1655,,0.67
Pruned SAE,0,7.1616,,0.65
Pruned SAE,0,7.18,,0.63
Pruned SAE,0,7.1758,,0.61
Pruned SAE,0,7.1704,,0.59
Pruned SAE,0,7.1446,,0.57
Pruned SAE,0,7.1444,,0.55
Pruned SAE,0,7.1331,,0.53
Pruned SAE,0,7.1274,,0.51
Pruned SAE,0,7.1018,,0.49
Pruned SAE,0,7.0918,,0.47
Pruned SAE,0,7.054,,0.45
Pruned SAE,0,7.0701,,0.43
Pruned SAE,0,7.039,,0.41
Pruned SAE,0,7.021,,0.39
Pruned SAE,0,7.0053,,0.37
Pruned SAE,0,6.9591,,0.35
Pruned SAE,0,6.9704,,0.33
Pruned SAE,0,6.9538,,0.31
Pruned SAE,0,6.9458,,0.29
Pruned SAE,0,6.9396,,0.27
Pruned SAE,0,6.9268,,0.25
Best sparse ratio pruned SAE,0,2.8689,2.8208,0.99
SAE trained on pruned gpt2-small ,1,7.1276,7.1361,0.0
Pretrained SAE,1,3.1165,3.0754,0.0
Pruned SAE,1,2.0985,,0.99
Pruned SAE,1,2.8457,,0.97
Pruned SAE,1,2.5694,,0.95
Pruned SAE,1,2.543,,0.93
Pruned SAE,1,2.5702,,0.91
Pruned SAE,1,2.5535,,0.89
Pruned SAE,1,2.5625,,0.87
Pruned SAE,1,2.5714,,0.85
Pruned SAE,1,2.5733,,0.83
Pruned SAE,1,2.5941,,0.81
Pruned SAE,1,2.6099,,0.79
Pruned SAE,1,2.6444,,0.77
Pruned SAE,1,2.6219,,0.75
Pruned SAE,1,2.6617,,0.73
Pruned SAE,1,2.6771,,0.71
Pruned SAE,1,2.7833,,0.69
Pruned SAE,1,2.856,,0.67
Pruned SAE,1,2.893,,0.65
Pruned SAE,1,2.8829,,0.63
Pruned SAE,1,2.9076,,0.61
Pruned SAE,1,3.0856,,0.59
Pruned SAE,1,3.1424,,0.57
Pruned SAE,1,3.0813,,0.55
Pruned SAE,1,3.1614,,0.53
Pruned SAE,1,3.0981,,0.51
Pruned SAE,1,3.2745,,0.49
Pruned SAE,1,3.2248,,0.47
Pruned SAE,1,3.1941,,0.45
Pruned SAE,1,3.2858,,0.43
