SAE Variant,Layer,Validation Loss,Sparsity
Pretrained,0,2.602,0.0
Trained,0,2.4458,0.0
Pruned,0,9.055,0.99
Pruned,0,8.425,0.95
Pruned,0,5.445,0.85
Pruned,0,5.403,0.8
Pruned,0,4.523,0.75
Pruned,0,3.777,0.7
Pruned,0,3.517,0.65
Pruned,0,3.259,0.6
Pruned,0,3.127,0.55
Pruned,0,3.013,0.5
Pruned,0,2.929,0.45
Pruned,0,2.805,0.4
Pruned,0,2.837,0.35
Pruned,0,2.79,0.3
Pruned,0,2.764,0.25
Pretrained,1,2.4552,0.0
Trained,1,2.4177,0.0
Pruned,1,2.543,0.99
Pruned,1,2.481,0.95
Pruned,1,2.545,0.85
Pruned,1,2.512,0.8
Pruned,1,2.485,0.75
Pruned,1,2.51,0.7
Pruned,1,2.447,0.65
Pruned,1,2.442,0.6
Pruned,1,2.414,0.55
Pruned,1,2.464,0.5
Pruned,1,2.401,0.45
Pruned,1,2.453,0.4
Pruned,1,2.438,0.35
Pruned,1,2.413,0.3
Pruned,1,2.385,0.25
Pretrained,2,2.4429,0.0
Trained,2,2.4735,0.0
Pruned,2,2.668,0.99
Pruned,2,2.812,0.95
Pruned,2,2.677,0.85
Pruned,2,2.684,0.8
Pruned,2,2.659,0.75
Pruned,2,2.554,0.7
Pruned,2,2.594,0.65
Pruned,2,2.503,0.6
Pruned,2,2.443,0.55
Pruned,2,2.447,0.5
Pruned,2,2.416,0.45
Pruned,2,2.385,0.4
Pruned,2,2.36,0.35
Pruned,2,2.349,0.3
Pruned,2,2.297,0.25
Pretrained,3,2.4284,0.0
Trained,3,2.4642,0.0
Pruned,3,2.436,0.99
Pruned,3,2.419,0.95
Pruned,3,2.376,0.85
Pruned,3,2.351,0.8
Pruned,3,2.339,0.75
Pruned,3,2.328,0.7
Pruned,3,2.314,0.65
Pruned,3,2.307,0.6
Pruned,3,2.297,0.55
Pruned,3,2.293,0.5
Pruned,3,2.286,0.45
Pruned,3,2.282,0.4
Pruned,3,2.28,0.35
Pruned,3,2.278,0.3
Pruned,3,2.274,0.25
Pretrained,4,2.465,0.0
Trained,4,2.4598,0.0
Pruned,4,2.455,0.99
Pruned,4,2.439,0.95
Pruned,4,2.41,0.85
Pruned,4,2.406,0.8
Pruned,4,2.398,0.75
Pruned,4,2.386,0.7
Pruned,4,2.37,0.65
Pruned,4,2.36,0.6
Pruned,4,2.349,0.55
Pruned,4,2.34,0.5
Pruned,4,2.329,0.45
Pruned,4,2.328,0.4
Pruned,4,2.323,0.35
Pruned,4,2.318,0.3
Pruned,4,2.312,0.25
Pretrained,5,2.43,0.0
Trained,5,2.4284,0.0
Pruned,5,2.384,0.99
Pruned,5,2.369,0.95
Pruned,5,2.349,0.85
Pruned,5,2.346,0.8
Pruned,5,2.338,0.75
Pruned,5,2.327,0.7
Pruned,5,2.318,0.65
Pruned,5,2.313,0.6
Pruned,5,2.307,0.55
Pruned,5,2.298,0.5
Pruned,5,2.293,0.45
Pruned,5,2.292,0.4
Pruned,5,2.286,0.35
Pruned,5,2.282,0.3
Pruned,5,2.281,0.25
Pretrained,6,2.4202,0.0
Trained,6,2.4273,0.0
Pruned,6,2.345,0.99
Pruned,6,2.342,0.95
Pruned,6,2.317,0.85
Pruned,6,2.309,0.8
Pruned,6,2.306,0.75
Pruned,6,2.301,0.7
Pruned,6,2.293,0.65
Pruned,6,2.289,0.6
Pruned,6,2.287,0.55
Pruned,6,2.283,0.5
Pruned,6,2.281,0.45
Pruned,6,2.278,0.4
Pruned,6,2.271,0.35
Pruned,6,2.269,0.3
Pruned,6,2.271,0.25
Pretrained,7,2.421,0.0
Trained,7,2.4335,0.0
Pruned,7,2.352,0.99
Pruned,7,2.349,0.95
Pruned,7,2.325,0.85
Pruned,7,2.309,0.8
Pruned,7,2.305,0.75
Pruned,7,2.299,0.7
Pruned,7,2.291,0.65
Pruned,7,2.283,0.6
Pruned,7,2.276,0.55
Pruned,7,2.273,0.5
Pruned,7,2.27,0.45
Pruned,7,2.266,0.4
Pruned,7,2.265,0.35
Pruned,7,2.265,0.3
Pruned,7,2.266,0.25
Pretrained,8,2.4199,0.0
Trained,8,2.4203,0.0
Pruned,8,2.343,0.99
Pruned,8,2.333,0.95
Pruned,8,2.313,0.85
Pruned,8,2.306,0.8
Pruned,8,2.301,0.75
Pruned,8,2.298,0.7
Pruned,8,2.295,0.65
Pruned,8,2.291,0.6
Pruned,8,2.286,0.55
Pruned,8,2.279,0.5
Pruned,8,2.274,0.45
Pruned,8,2.271,0.4
Pruned,8,2.27,0.35
Pruned,8,2.269,0.3
Pruned,8,2.27,0.25
Pretrained,9,2.4189,0.0
Trained,9,2.4191,0.0
Pruned,9,2.352,0.99
Pruned,9,2.341,0.95
Pruned,9,2.322,0.85
Pruned,9,2.315,0.8
Pruned,9,2.314,0.75
Pruned,9,2.301,0.7
Pruned,9,2.297,0.65
Pruned,9,2.292,0.6
Pruned,9,2.285,0.55
Pruned,9,2.282,0.5
Pruned,9,2.278,0.45
Pruned,9,2.274,0.4
Pruned,9,2.268,0.35
Pruned,9,2.267,0.3
Pruned,9,2.267,0.25
Pretrained,10,2.4196,0.0
Trained,10,2.4076,0.0
Pruned,10,2.309,0.99
Pruned,10,2.307,0.95
Pruned,10,2.302,0.85
Pruned,10,2.303,0.8
Pruned,10,2.305,0.75
Pruned,10,2.316,0.7
Pruned,10,2.307,0.65
Pruned,10,2.298,0.6
Pruned,10,2.291,0.55
Pruned,10,2.288,0.5
Pruned,10,2.285,0.45
Pruned,10,2.277,0.4
Pruned,10,2.274,0.35
Pruned,10,2.271,0.3
Pruned,10,2.27,0.25
Pretrained,11,2.4328,0.0
Trained,11,2.4222,0.0
Pruned,11,2.425,0.99
Pruned,11,2.469,0.95
Pruned,11,2.404,0.85
Pruned,11,2.392,0.8
Pruned,11,2.387,0.75
Pruned,11,2.34,0.7
Pruned,11,2.332,0.65
Pruned,11,2.316,0.6
Pruned,11,2.314,0.55
Pruned,11,2.31,0.5
Pruned,11,2.3,0.45
Pruned,11,2.296,0.4
Pruned,11,2.292,0.35
Pruned,11,2.289,0.3
Pruned,11,2.286,0.25
