SAE Variant,Layer,Validation Loss,Sparsity
Pretrained,0,4.0483,0.0
Trained,0,2.1721,0.0
Pruned,0,12.774,0.99
Pruned,0,13.147,0.95
Pruned,0,11.732,0.85
Pruned,0,11.132,0.8
Pruned,0,10.223,0.75
Pruned,0,9.382,0.7
Pruned,0,9.04,0.65
Pruned,0,8.608,0.6
Pruned,0,7.927,0.55
Pruned,0,6.992,0.5
Pruned,0,6.171,0.45
Pruned,0,6.144,0.4
Pruned,0,5.841,0.35
Pruned,0,5.419,0.3
Pruned,0,4.873,0.25
Pretrained,1,5.1383,0.0
Trained,1,2.2186,0.0
Pruned,1,11.955,0.99
Pruned,1,9.982,0.95
Pruned,1,9.221,0.85
Pruned,1,9.348,0.8
Pruned,1,8.448,0.75
Pruned,1,8.635,0.7
Pruned,1,8.237,0.65
Pruned,1,8.642,0.6
Pruned,1,8.509,0.55
Pruned,1,8.234,0.5
Pruned,1,8.253,0.45
Pruned,1,7.857,0.4
Pruned,1,7.581,0.35
Pruned,1,7.485,0.3
Pruned,1,7.781,0.25
Pretrained,2,3.9036,0.0
Trained,2,2.1819,0.0
Pruned,2,9.125,0.99
Pruned,2,8.958,0.95
Pruned,2,8.55,0.85
Pruned,2,8.124,0.8
Pruned,2,8.757,0.75
Pruned,2,7.843,0.7
Pruned,2,7.508,0.65
Pruned,2,6.944,0.6
Pruned,2,6.998,0.55
Pruned,2,6.92,0.5
Pruned,2,6.905,0.45
Pruned,2,6.717,0.4
Pruned,2,6.649,0.35
Pruned,2,6.431,0.3
Pruned,2,6.185,0.25
Pretrained,3,3.8465,0.0
Trained,3,2.1707,0.0
Pruned,3,10.476,0.99
Pruned,3,9.447,0.95
Pruned,3,7.556,0.85
Pruned,3,7.118,0.8
Pruned,3,6.899,0.75
Pruned,3,6.751,0.7
Pruned,3,6.485,0.65
Pruned,3,6.262,0.6
Pruned,3,6.002,0.55
Pruned,3,5.863,0.5
Pruned,3,5.452,0.45
Pruned,3,5.474,0.4
Pruned,3,5.145,0.35
Pruned,3,5.183,0.3
Pruned,3,5.099,0.25
Pretrained,4,3.3671,0.0
Trained,4,2.2213,0.0
Pruned,4,10.431,0.99
Pruned,4,8.766,0.95
Pruned,4,7.75,0.85
Pruned,4,7.119,0.8
Pruned,4,6.8,0.75
Pruned,4,6.929,0.7
Pruned,4,6.522,0.65
Pruned,4,6.27,0.6
Pruned,4,6.213,0.55
Pruned,4,6.169,0.5
Pruned,4,5.647,0.45
Pruned,4,5.397,0.4
Pruned,4,5.053,0.35
Pruned,4,4.989,0.3
Pruned,4,4.842,0.25
Pretrained,5,3.029,0.0
Trained,5,2.187,0.0
Pruned,5,9.301,0.99
Pruned,5,8.091,0.95
Pruned,5,6.749,0.85
Pruned,5,6.69,0.8
Pruned,5,6.081,0.75
Pruned,5,5.598,0.7
Pruned,5,5.111,0.65
Pruned,5,4.754,0.6
Pruned,5,4.592,0.55
Pruned,5,4.421,0.5
Pruned,5,4.299,0.45
Pruned,5,4.153,0.4
Pruned,5,3.992,0.35
Pruned,5,3.941,0.3
Pruned,5,3.879,0.25
Pretrained,6,2.8805,0.0
Trained,6,2.1664,0.0
Pruned,6,8.758,0.99
Pruned,6,7.934,0.95
Pruned,6,6.174,0.85
Pruned,6,5.674,0.8
Pruned,6,5.38,0.75
Pruned,6,5.046,0.7
Pruned,6,4.668,0.65
Pruned,6,4.461,0.6
Pruned,6,4.326,0.55
Pruned,6,4.072,0.5
Pruned,6,3.981,0.45
Pruned,6,3.913,0.4
Pruned,6,3.818,0.35
Pruned,6,3.745,0.3
Pruned,6,3.69,0.25
Pretrained,7,2.8709,0.0
Trained,7,2.1524,0.0
Pruned,7,8.332,0.99
Pruned,7,7.729,0.95
Pruned,7,6.125,0.85
Pruned,7,5.354,0.8
Pruned,7,4.921,0.75
Pruned,7,4.612,0.7
Pruned,7,4.74,0.65
Pruned,7,4.541,0.6
Pruned,7,4.246,0.55
Pruned,7,3.937,0.5
Pruned,7,3.759,0.45
Pruned,7,3.799,0.4
Pruned,7,3.705,0.35
Pruned,7,3.669,0.3
Pruned,7,3.609,0.25
Pretrained,8,2.5852,0.0
Trained,8,2.1524,0.0
Pruned,8,7.921,0.99
Pruned,8,7.395,0.95
Pruned,8,5.404,0.85
Pruned,8,5.174,0.8
Pruned,8,4.711,0.75
Pruned,8,4.309,0.7
Pruned,8,4.05,0.65
Pruned,8,3.946,0.6
Pruned,8,3.742,0.55
Pruned,8,3.584,0.5
Pruned,8,3.552,0.45
Pruned,8,3.466,0.4
Pruned,8,3.369,0.35
Pruned,8,3.337,0.3
Pruned,8,3.251,0.25
Pretrained,9,2.4564,0.0
Trained,9,2.1432,0.0
Pruned,9,7.489,0.99
Pruned,9,6.732,0.95
Pruned,9,5.509,0.85
Pruned,9,4.775,0.8
Pruned,9,4.442,0.75
Pruned,9,4.194,0.7
Pruned,9,3.871,0.65
Pruned,9,3.617,0.6
Pruned,9,3.355,0.55
Pruned,9,3.248,0.5
Pruned,9,3.183,0.45
Pruned,9,3.088,0.4
Pruned,9,3.041,0.35
Pruned,9,2.983,0.3
Pruned,9,2.951,0.25
Pretrained,10,2.5124,0.0
Trained,10,2.142,0.0
Pruned,10,7.721,0.99
Pruned,10,6.884,0.95
Pruned,10,5.235,0.85
Pruned,10,4.671,0.8
Pruned,10,4.276,0.75
Pruned,10,4.172,0.7
Pruned,10,4.009,0.65
Pruned,10,3.622,0.6
Pruned,10,3.472,0.55
Pruned,10,3.321,0.5
Pruned,10,3.092,0.45
Pruned,10,3.068,0.4
Pruned,10,2.98,0.35
Pruned,10,2.927,0.3
Pruned,10,2.91,0.25
Pretrained,11,2.4097,0.0
Trained,11,2.1407,0.0
Pruned,11,7.199,0.99
Pruned,11,7.016,0.95
Pruned,11,6.19,0.85
Pruned,11,5.979,0.8
Pruned,11,5.564,0.75
Pruned,11,4.955,0.7
Pruned,11,4.404,0.65
Pruned,11,4.353,0.6
Pruned,11,3.833,0.55
Pruned,11,3.669,0.5
Pruned,11,3.44,0.45
Pruned,11,3.316,0.4
Pruned,11,3.214,0.35
Pruned,11,3.106,0.3
Pruned,11,3.009,0.25
