SAE Variant,Layer,Validation Loss,Sparsity
Pretrained,0,7.5272,0.0
Trained,0,2.5558,0.0
Pruned,0,4.155,0.99
Pruned,0,6.481,0.95
Pruned,0,7.955,0.85
Pruned,0,7.925,0.8
Pruned,0,7.74,0.75
Pruned,0,7.7,0.7
Pruned,0,7.71,0.65
Pruned,0,7.694,0.6
Pruned,0,7.666,0.55
Pruned,0,7.664,0.5
Pruned,0,7.642,0.45
Pruned,0,7.624,0.4
Pruned,0,7.601,0.35
Pruned,0,7.596,0.3
Pruned,0,7.579,0.25
Pretrained,1,5.3171,0.0
Trained,1,2.4525,0.0
Pruned,1,3.195,0.99
Pruned,1,4.249,0.95
Pruned,1,4.815,0.85
Pruned,1,5.081,0.8
Pruned,1,5.206,0.75
Pruned,1,5.327,0.7
Pruned,1,5.448,0.65
Pruned,1,5.437,0.6
Pruned,1,5.468,0.55
Pruned,1,5.596,0.5
Pruned,1,5.566,0.45
Pruned,1,5.621,0.4
Pruned,1,5.536,0.35
Pruned,1,5.453,0.3
Pruned,1,5.41,0.25
Pretrained,2,4.7232,0.0
Trained,2,2.5244,0.0
Pruned,2,2.62,0.99
Pruned,2,2.808,0.95
Pruned,2,3.661,0.85
Pruned,2,3.768,0.8
Pruned,2,3.996,0.75
Pruned,2,4.149,0.7
Pruned,2,4.264,0.65
Pruned,2,4.404,0.6
Pruned,2,4.492,0.55
Pruned,2,4.573,0.5
Pruned,2,4.537,0.45
Pruned,2,4.397,0.4
Pruned,2,4.401,0.35
Pruned,2,4.459,0.3
Pruned,2,4.511,0.25
Pretrained,3,2.6188,0.0
Trained,3,2.4813,0.0
Pruned,3,2.554,0.99
Pruned,3,2.558,0.95
Pruned,3,2.547,0.85
Pruned,3,2.55,0.8
Pruned,3,2.547,0.75
Pruned,3,2.543,0.7
Pruned,3,2.546,0.65
Pruned,3,2.555,0.6
Pruned,3,2.554,0.55
Pruned,3,2.574,0.5
Pruned,3,2.593,0.45
Pruned,3,2.608,0.4
Pruned,3,2.617,0.35
Pruned,3,2.635,0.3
Pruned,3,2.637,0.25
Pretrained,4,2.4924,0.0
Trained,4,2.4801,0.0
Pruned,4,2.595,0.99
