Model,Config,Architecture,Epochs,Layer,Validation Loss,Test Loss
SAE trained on pruned gpt2-small,MATS,standard,30K,0,10.3479,10.3022
SAE trained on pruned gpt2-small,Custom,standard,30K,0,2.5558,2.6106
SAE trained on pruned gpt2-small,Custom,standard,50K,0,2.5175,2.5663
SAE trained on pruned gpt2-small,Custom,gated,30K,0,2.5592,2.6122
SAE trained on pruned gpt2-small,MATS,standard,30K,1,7.8594,7.8735
SAE trained on pruned gpt2-small,Custom,standard,30K,1,2.4525,2.5004
SAE trained on pruned gpt2-small,Custom,standard,50K,1,2.4579,2.5066
SAE trained on pruned gpt2-small,MATS,standard,30K,2,4.1071,4.1652
SAE trained on pruned gpt2-small,Custom,standard,30K,2,2.5244,2.5721
SAE trained on pruned gpt2-small,Custom,standard,50K,2,2.5135,2.5603
SAE trained on pruned gpt2-small,MATS,standard,30K,3,2.5374,2.5824
SAE trained on pruned gpt2-small,Custom,standard,30K,3,2.4813,2.5278
SAE trained on pruned gpt2-small,Custom,standard,50K,3,2.4913,2.5376
SAE trained on pruned gpt2-small,Custom,gated,30K,3,2.4603,2.5052
SAE trained on pruned gpt2-small,MATS,standard,30K,4,3.9354,3.9157
SAE trained on pruned gpt2-small,Custom,standard,30K,4,2.4801,2.5264
SAE trained on pruned gpt2-small,Custom,standard,50K,4,2.4892,2.536
SAE trained on pruned gpt2-small,MATS,standard,30K,5,2.4718,2.5178
SAE trained on pruned gpt2-small,Custom,standard,30K,5,2.5088,2.5546
SAE trained on pruned gpt2-small,Custom,standard,50K,5,2.5229,2.5685
SAE trained on pruned gpt2-small,Custom,gated,30K,5,2.4849,2.5321
SAE trained on pruned gpt2-small,MATS,standard,30K,6,2.9069,2.9467
SAE trained on pruned gpt2-small,Custom,standard,30K,6,2.4687,2.515
SAE trained on pruned gpt2-small,Custom,standard,50K,6,2.4786,2.5251
SAE trained on pruned gpt2-small,MATS,standard,30K,7,3.8322,3.8981
SAE trained on pruned gpt2-small,Custom,standard,30K,7,2.4559,2.5018
SAE trained on pruned gpt2-small,Custom,standard,50K,7,2.4587,2.5046
SAE trained on pruned gpt2-small,MATS,standard,30K,8,3.017,3.0618
SAE trained on pruned gpt2-small,Custom,standard,30K,8,2.441,2.4888
SAE trained on pruned gpt2-small,Custom,standard,50K,8,2.442,2.4895
SAE trained on pruned gpt2-small,MATS,standard,30K,9,3.7542,3.8359
SAE trained on pruned gpt2-small,Custom,standard,30K,9,2.4388,2.4855
SAE trained on pruned gpt2-small,Custom,standard,50K,9,2.4424,2.489
SAE trained on pruned gpt2-small,MATS,standard,30K,10,2.4083,2.4557
SAE trained on pruned gpt2-small,Custom,standard,30K,10,2.416,2.4624
SAE trained on pruned gpt2-small,Custom,standard,50K,10,2.418,2.4644
SAE trained on pruned gpt2-small,MATS,standard,30K,11,2.3948,2.4414
SAE trained on pruned gpt2-small,Custom,standard,30K,11,2.4089,2.4558
SAE trained on pruned gpt2-small,Custom,standard,50K,11,2.4168,2.4624
