Model,Config,Architecture,Epochs,Layer,Validation Loss,Test Loss
SAE trained on pruned gpt2-small,MATS,standard,30K,0,9.4133,9.0984
SAE trained on pruned gpt2-small,Custom,standard,30K,0,2.0555,1.9373
SAE trained on pruned gpt2-small,Custom,standard,50K,0,2.0395,1.9163
SAE trained on pruned gpt2-small,Custom,gated,30K,0,2.0602,1.9351
SAE trained on pruned gpt2-small,MATS,standard,30K,1,7.5461,7.5027
SAE trained on pruned gpt2-small,Custom,standard,30K,1,1.9764,1.8551
SAE trained on pruned gpt2-small,Custom,standard,50K,1,1.9801,1.8577
SAE trained on pruned gpt2-small,MATS,standard,30K,2,3.249,3.1315
SAE trained on pruned gpt2-small,Custom,standard,30K,2,2.0171,1.889
SAE trained on pruned gpt2-small,Custom,standard,50K,2,2.0186,1.8903
SAE trained on pruned gpt2-small,MATS,standard,30K,3,2.0772,1.9588
SAE trained on pruned gpt2-small,Custom,standard,30K,3,2.0033,1.8806
SAE trained on pruned gpt2-small,Custom,standard,50K,3,2.0141,1.8912
SAE trained on pruned gpt2-small,Custom,gated,30K,3,2.0011,1.8818
SAE trained on pruned gpt2-small,MATS,standard,30K,4,3.8832,3.961
SAE trained on pruned gpt2-small,Custom,standard,30K,4,2.0138,1.8891
SAE trained on pruned gpt2-small,Custom,standard,50K,4,2.0197,1.8933
SAE trained on pruned gpt2-small,MATS,standard,30K,5,2.0293,1.9077
SAE trained on pruned gpt2-small,Custom,standard,30K,5,2.0451,1.9167
SAE trained on pruned gpt2-small,Custom,standard,50K,5,2.0539,1.9231
SAE trained on pruned gpt2-small,Custom,gated,30K,5,2.0301,1.9037
SAE trained on pruned gpt2-small,MATS,standard,30K,6,2.2769,2.1082
SAE trained on pruned gpt2-small,Custom,standard,30K,6,2.0225,1.8999
SAE trained on pruned gpt2-small,Custom,standard,50K,6,2.0338,1.9118
SAE trained on pruned gpt2-small,MATS,standard,30K,7,2.9396,2.7533
SAE trained on pruned gpt2-small,Custom,standard,30K,7,2.013,1.89
SAE trained on pruned gpt2-small,Custom,standard,50K,7,2.0163,1.8929
SAE trained on pruned gpt2-small,MATS,standard,30K,8,2.4163,2.2613
SAE trained on pruned gpt2-small,Custom,standard,30K,8,1.9876,1.8705
SAE trained on pruned gpt2-small,Custom,standard,50K,8,1.9884,1.8709
SAE trained on pruned gpt2-small,MATS,standard,30K,9,2.918,2.7352
SAE trained on pruned gpt2-small,Custom,standard,30K,9,1.9924,1.8737
SAE trained on pruned gpt2-small,Custom,standard,50K,9,2.0006,1.8806
SAE trained on pruned gpt2-small,MATS,standard,30K,10,1.9743,1.8636
SAE trained on pruned gpt2-small,Custom,standard,30K,10,1.9624,1.843
SAE trained on pruned gpt2-small,Custom,standard,50K,10,1.9678,1.8493
SAE trained on pruned gpt2-small,MATS,standard,30K,11,1.9525,1.8352
SAE trained on pruned gpt2-small,Custom,standard,30K,11,1.9711,1.8542
SAE trained on pruned gpt2-small,Custom,standard,50K,11,1.9847,1.8682
