Model,Layer,Validation Loss,Test Loss,Sparse Ratio
SAE trained on pruned gpt2-small ,0,8.351,8.3457,0.0
Pretrained SAE,0,6.5784,6.5245,0.0
Pruned SAE,0,2.5353,,0.99
Pruned SAE,0,3.49,,0.97
Pruned SAE,0,4.5191,,0.95
Pruned SAE,0,5.4669,,0.93
Pruned SAE,0,6.189,,0.91
Pruned SAE,0,6.5338,,0.89
Pruned SAE,0,6.7729,,0.87
Pruned SAE,0,6.8523,,0.85
Pruned SAE,0,6.8319,,0.83
Pruned SAE,0,6.813,,0.81
Pruned SAE,0,6.7935,,0.79
Pruned SAE,0,6.6918,,0.77
Pruned SAE,0,6.7037,,0.75
Pruned SAE,0,6.6641,,0.73
Pruned SAE,0,6.6678,,0.71
Pruned SAE,0,6.6614,,0.69
Pruned SAE,0,6.6541,,0.67
Pruned SAE,0,6.6751,,0.65
Pruned SAE,0,6.7019,,0.63
Pruned SAE,0,6.7119,,0.61
Pruned SAE,0,6.6907,,0.59
Pruned SAE,0,6.6761,,0.57
Pruned SAE,0,6.6537,,0.55
Pruned SAE,0,6.6389,,0.53
Pruned SAE,0,6.642,,0.51
Pruned SAE,0,6.6554,,0.49
Pruned SAE,0,6.6626,,0.47
Pruned SAE,0,6.6444,,0.45
Pruned SAE,0,6.6274,,0.43
Pruned SAE,0,6.6267,,0.41
Pruned SAE,0,6.6101,,0.39
Pruned SAE,0,6.6085,,0.37
Pruned SAE,0,6.5931,,0.35
Pruned SAE,0,6.5821,,0.33
Pruned SAE,0,6.5951,,0.31
Pruned SAE,0,6.5806,,0.29
Pruned SAE,0,6.5995,,0.27
Pruned SAE,0,6.5879,,0.25
Best sparse ratio pruned SAE,0,2.5353,2.5574,0.99
SAE trained on pruned gpt2-small ,1,7.1681,7.0585,0.0
Pretrained SAE,1,3.1288,2.9404,0.0
Pruned SAE,1,2.052,,0.99
Pruned SAE,1,2.4927,,0.97
Pruned SAE,1,2.5273,,0.95
Pruned SAE,1,2.5634,,0.93
Pruned SAE,1,2.4864,,0.91
Pruned SAE,1,2.8284,,0.89
Pruned SAE,1,2.9778,,0.87
Pruned SAE,1,3.0696,,0.85
Pruned SAE,1,3.2342,,0.83
Pruned SAE,1,3.0327,,0.81
Pruned SAE,1,3.0269,,0.79
Pruned SAE,1,2.9253,,0.77
Pruned SAE,1,3.0986,,0.75
Pruned SAE,1,2.9459,,0.73
Pruned SAE,1,2.8872,,0.71
Pruned SAE,1,2.9754,,0.69
Pruned SAE,1,2.9938,,0.67
Pruned SAE,1,3.0557,,0.65
Pruned SAE,1,3.2684,,0.63
Pruned SAE,1,3.3353,,0.61
Pruned SAE,1,3.12,,0.59
Pruned SAE,1,3.2744,,0.57
Pruned SAE,1,3.3703,,0.55
Pruned SAE,1,3.5587,,0.53
Pruned SAE,1,3.4848,,0.51
Pruned SAE,1,3.6445,,0.49
Pruned SAE,1,3.6553,,0.47
Pruned SAE,1,3.768,,0.45
