Model,Layer,Validation Loss,Test Loss,Sparse Ratio
SAE trained on pruned gpt2-small ,0,10.3479,10.3022,0.0
Pretrained SAE,0,7.5272,7.5207,0.0
Pruned SAE,0,4.1083,,0.99
Pruned SAE,0,5.2209,,0.97
Pruned SAE,0,6.4787,,0.95
Pruned SAE,0,7.3085,,0.93
Pruned SAE,0,7.6803,,0.91
Pruned SAE,0,7.8197,,0.89
Pruned SAE,0,7.942,,0.87
Pruned SAE,0,7.9039,,0.85
Pruned SAE,0,7.9273,,0.83
Pruned SAE,0,7.8956,,0.81
Pruned SAE,0,7.8257,,0.79
Pruned SAE,0,7.7498,,0.77
Pruned SAE,0,7.6943,,0.75
Pruned SAE,0,7.691,,0.73
Pruned SAE,0,7.6807,,0.71
Pruned SAE,0,7.6646,,0.69
Pruned SAE,0,7.6557,,0.67
Pruned SAE,0,7.6714,,0.65
Pruned SAE,0,7.677,,0.63
Pruned SAE,0,7.6622,,0.61
Pruned SAE,0,7.6517,,0.59
Pruned SAE,0,7.6458,,0.57
Pruned SAE,0,7.63,,0.55
Pruned SAE,0,7.6178,,0.53
Pruned SAE,0,7.623,,0.51
Pruned SAE,0,7.632,,0.49
Pruned SAE,0,7.6125,,0.47
Pruned SAE,0,7.599,,0.45
Pruned SAE,0,7.6029,,0.43
Pruned SAE,0,7.592,,0.41
Pruned SAE,0,7.5816,,0.39
Pruned SAE,0,7.5842,,0.37
Pruned SAE,0,7.5568,,0.35
Pruned SAE,0,7.5649,,0.33
Pruned SAE,0,7.5519,,0.31
Pruned SAE,0,7.5446,,0.29
Pruned SAE,0,7.5389,,0.27
Pruned SAE,0,7.5364,,0.25
Best sparse ratio pruned SAE,0,4.1083,4.1497,0.99
SAE trained on pruned gpt2-small ,1,7.8594,7.8735,0.0
Pretrained SAE,1,5.3171,5.3619,0.0
Pruned SAE,1,3.191,,0.99
Pruned SAE,1,3.9963,,0.97
Pruned SAE,1,4.2163,,0.95
Pruned SAE,1,4.3853,,0.93
Pruned SAE,1,4.3052,,0.91
Pruned SAE,1,4.3975,,0.89
Pruned SAE,1,4.6543,,0.87
Pruned SAE,1,4.8193,,0.85
Pruned SAE,1,4.8763,,0.83
Pruned SAE,1,4.9025,,0.81
Pruned SAE,1,5.0337,,0.79
Pruned SAE,1,5.0568,,0.77
Pruned SAE,1,5.1095,,0.75
Pruned SAE,1,5.0979,,0.73
Pruned SAE,1,5.1767,,0.71
Pruned SAE,1,5.2222,,0.69
Pruned SAE,1,5.2474,,0.67
Pruned SAE,1,5.2659,,0.65
Pruned SAE,1,5.2671,,0.63
Pruned SAE,1,5.2255,,0.61
Pruned SAE,1,5.259,,0.59
Pruned SAE,1,5.2356,,0.57
Pruned SAE,1,5.325,,0.55
Pruned SAE,1,5.4362,,0.53
Pruned SAE,1,5.509,,0.51
Pruned SAE,1,5.4338,,0.49
Pruned SAE,1,5.4651,,0.47
Pruned SAE,1,5.415,,0.45
Pruned SAE,1,5.4738,,0.43
Pruned SAE,1,5.5464,,0.41
Pruned SAE,1,5.4958,,0.39
Pruned SAE,1,5.5117,,0.37
Pruned SAE,1,5.4945,,0.35
Pruned SAE,1,5.4324,,0.33
Pruned SAE,1,5.3859,,0.31
Pruned SAE,1,5.3257,,0.29
Pruned SAE,1,5.3125,,0.27
Pruned SAE,1,5.2984,,0.25
Best sparse ratio pruned SAE,1,3.191,3.1764,0.99
SAE trained on pruned gpt2-small ,2,4.1071,4.1652,0.0
Pretrained SAE,2,4.7232,4.7297,0.0
Pruned SAE,2,2.6078,,0.99
Pruned SAE,2,2.6468,,0.97
Pruned SAE,2,2.7865,,0.95
Pruned SAE,2,2.9283,,0.93
Pruned SAE,2,3.1106,,0.91
Pruned SAE,2,3.3579,,0.89
Pruned SAE,2,3.5038,,0.87
Pruned SAE,2,3.6248,,0.85
Pruned SAE,2,3.6548,,0.83
Pruned SAE,2,3.6875,,0.81
Pruned SAE,2,3.7391,,0.79
Pruned SAE,2,3.8618,,0.77
Pruned SAE,2,3.8926,,0.75
Pruned SAE,2,4.0125,,0.73
Pruned SAE,2,4.0469,,0.71
Pruned SAE,2,4.1046,,0.69
Pruned SAE,2,4.1603,,0.67
Pruned SAE,2,4.2205,,0.65
Pruned SAE,2,4.3242,,0.63
Pruned SAE,2,4.3938,,0.61
Pruned SAE,2,4.3659,,0.59
Pruned SAE,2,4.4309,,0.57
Pruned SAE,2,4.4394,,0.55
Pruned SAE,2,4.467,,0.53
Pruned SAE,2,4.5122,,0.51
Pruned SAE,2,4.5221,,0.49
Pruned SAE,2,4.4914,,0.47
Pruned SAE,2,4.4912,,0.45
Pruned SAE,2,4.4007,,0.43
Pruned SAE,2,4.3743,,0.41
Pruned SAE,2,4.318,,0.39
Pruned SAE,2,4.3351,,0.37
Pruned SAE,2,4.3527,,0.35
Pruned SAE,2,4.3762,,0.33
Pruned SAE,2,4.4064,,0.31
Pruned SAE,2,4.4382,,0.29
Pruned SAE,2,4.4613,,0.27
Pruned SAE,2,4.4876,,0.25
Best sparse ratio pruned SAE,2,2.6078,2.6549,0.99
SAE trained on pruned gpt2-small ,3,2.5374,2.5824,0.0
Pretrained SAE,3,2.6188,2.6558,0.0
Pruned SAE,3,2.5407,,0.99
Pruned SAE,3,2.5427,,0.97
Pruned SAE,3,2.5419,,0.95
Pruned SAE,3,2.5422,,0.93
Pruned SAE,3,2.5408,,0.91
Pruned SAE,3,2.5397,,0.89
Pruned SAE,3,2.5347,,0.87
Pruned SAE,3,2.5347,,0.85
Pruned SAE,3,2.5356,,0.83
Pruned SAE,3,2.5359,,0.81
Pruned SAE,3,2.5376,,0.79
Pruned SAE,3,2.5388,,0.77
Pruned SAE,3,2.5328,,0.75
Pruned SAE,3,2.5295,,0.73
Pruned SAE,3,2.5301,,0.71
Pruned SAE,3,2.5343,,0.69
Pruned SAE,3,2.5297,,0.67
Pruned SAE,3,2.5258,,0.65
Pruned SAE,3,2.5322,,0.63
Pruned SAE,3,2.5384,,0.61
Pruned SAE,3,2.5262,,0.59
Pruned SAE,3,2.5422,,0.57
Pruned SAE,3,2.5322,,0.55
Pruned SAE,3,2.5464,,0.53
Pruned SAE,3,2.5543,,0.51
Pruned SAE,3,2.5491,,0.49
Pruned SAE,3,2.5363,,0.47
Pruned SAE,3,2.559,,0.45
Pruned SAE,3,2.5707,,0.43
Pruned SAE,3,2.5721,,0.41
Pruned SAE,3,2.5957,,0.39
Pruned SAE,3,2.6167,,0.37
Pruned SAE,3,2.5768,,0.35
Pruned SAE,3,2.5865,,0.33
Pruned SAE,3,2.5928,,0.31
Pruned SAE,3,2.6093,,0.29
Pruned SAE,3,2.6127,,0.27
Pruned SAE,3,2.6155,,0.25
Best sparse ratio pruned SAE,3,2.5258,2.5803,0.65
SAE trained on pruned gpt2-small ,4,3.9354,3.9157,0.0
Pretrained SAE,4,2.4924,2.5374,0.0
Pruned SAE,4,2.5797,,0.99
Pruned SAE,4,2.5787,,0.97
Pruned SAE,4,2.5776,,0.95
Pruned SAE,4,2.5759,,0.93
Pruned SAE,4,2.5737,,0.91
Pruned SAE,4,2.5712,,0.89
Pruned SAE,4,2.5682,,0.87
Pruned SAE,4,2.5652,,0.85
Pruned SAE,4,2.5622,,0.83
Pruned SAE,4,2.5593,,0.81
Pruned SAE,4,2.556,,0.79
Pruned SAE,4,2.5534,,0.77
Pruned SAE,4,2.5508,,0.75
Pruned SAE,4,2.5484,,0.73
Pruned SAE,4,2.5462,,0.71
Pruned SAE,4,2.543,,0.69
Pruned SAE,4,2.5414,,0.67
Pruned SAE,4,2.5392,,0.65
Pruned SAE,4,2.5359,,0.63
Pruned SAE,4,2.5339,,0.61
Pruned SAE,4,2.5318,,0.59
Pruned SAE,4,2.53,,0.57
Pruned SAE,4,2.5279,,0.55
Pruned SAE,4,2.5264,,0.53
Pruned SAE,4,2.5247,,0.51
Pruned SAE,4,2.5228,,0.49
Pruned SAE,4,2.5208,,0.47
Pruned SAE,4,2.5191,,0.45
Pruned SAE,4,2.5169,,0.43
