Model,Layer,Validation Loss,Test Loss,Sparse Ratio
SAE trained on pruned gpt2-small ,0,11.6548,11.8987,0.0
Pretrained SAE,0,7.6497,7.6443,0.0
Pruned SAE,0,4.8366,,0.99
Pruned SAE,0,6.2948,,0.97
Pruned SAE,0,7.4471,,0.95
Pruned SAE,0,7.7301,,0.93
Pruned SAE,0,7.9232,,0.91
Pruned SAE,0,8.0174,,0.89
Pruned SAE,0,8.1167,,0.87
Pruned SAE,0,8.0938,,0.85
Pruned SAE,0,8.0784,,0.83
Pruned SAE,0,8.0507,,0.81
Pruned SAE,0,8.0205,,0.79
Pruned SAE,0,7.9782,,0.77
Pruned SAE,0,7.9377,,0.75
Pruned SAE,0,7.9188,,0.73
Pruned SAE,0,7.8914,,0.71
Pruned SAE,0,7.8652,,0.69
Pruned SAE,0,7.8474,,0.67
Pruned SAE,0,7.8297,,0.65
Pruned SAE,0,7.8322,,0.63
Pruned SAE,0,7.8143,,0.61
Pruned SAE,0,7.8064,,0.59
Pruned SAE,0,7.7847,,0.57
Pruned SAE,0,7.7733,,0.55
Pruned SAE,0,7.7645,,0.53
Pruned SAE,0,7.7531,,0.51
Pruned SAE,0,7.7471,,0.49
Pruned SAE,0,7.7351,,0.47
Pruned SAE,0,7.7224,,0.45
Pruned SAE,0,7.7163,,0.43
Pruned SAE,0,7.7032,,0.41
Pruned SAE,0,7.6923,,0.39
Pruned SAE,0,7.6831,,0.37
Pruned SAE,0,7.6764,,0.35
Pruned SAE,0,7.6737,,0.33
Pruned SAE,0,7.6698,,0.31
Pruned SAE,0,7.6647,,0.29
Pruned SAE,0,7.6613,,0.27
Pruned SAE,0,7.6558,,0.25
Best sparse ratio pruned SAE,0,4.8366,4.9906,0.99
SAE trained on pruned gpt2-small ,1,7.984,8.0709,0.0
Pretrained SAE,1,5.2103,5.3977,0.0
Pruned SAE,1,3.7554,,0.99
Pruned SAE,1,4.5836,,0.97
Pruned SAE,1,4.6803,,0.95
Pruned SAE,1,4.6873,,0.93
Pruned SAE,1,4.6388,,0.91
Pruned SAE,1,4.5613,,0.89
Pruned SAE,1,4.5471,,0.87
Pruned SAE,1,4.5735,,0.85
Pruned SAE,1,4.6374,,0.83
Pruned SAE,1,4.6951,,0.81
Pruned SAE,1,4.7045,,0.79
Pruned SAE,1,4.7605,,0.77
Pruned SAE,1,4.7921,,0.75
Pruned SAE,1,4.8106,,0.73
Pruned SAE,1,4.9121,,0.71
Pruned SAE,1,4.9682,,0.69
Pruned SAE,1,5.026,,0.67
Pruned SAE,1,5.0217,,0.65
Pruned SAE,1,5.0866,,0.63
Pruned SAE,1,5.1163,,0.61
Pruned SAE,1,5.1227,,0.59
Pruned SAE,1,5.1469,,0.57
Pruned SAE,1,5.1267,,0.55
Pruned SAE,1,5.1981,,0.53
Pruned SAE,1,5.1843,,0.51
Pruned SAE,1,5.1885,,0.49
Pruned SAE,1,5.1984,,0.47
Pruned SAE,1,5.1857,,0.45
Pruned SAE,1,5.1988,,0.43
Pruned SAE,1,5.1917,,0.41
Pruned SAE,1,5.1978,,0.39
Pruned SAE,1,5.1986,,0.37
Pruned SAE,1,5.1842,,0.35
Pruned SAE,1,5.1885,,0.33
Pruned SAE,1,5.182,,0.31
Pruned SAE,1,5.1815,,0.29
Pruned SAE,1,5.1765,,0.27
Pruned SAE,1,5.1866,,0.25
Best sparse ratio pruned SAE,1,3.7554,3.8113,0.99
SAE trained on pruned gpt2-small ,2,3.7422,3.864,0.0
Pretrained SAE,2,5.0332,5.1418,0.0
